index,qid1,qid2,qid2_13_text,qid8_text,qid9_text,qid5,qid5_9_text,qid50,qid50_11_text,qid53_text,qid10_1,qid10_2,qid10_3,qid10_4,qid10_5,qid13,qid15_text,qid3,qid4,qid6,qid7,qid7_9_text,qid16,qid17,qid18,qid19_text,qid20,qid21,qid21_6_text,qid22_text,qid39,qid40_text,qid41_text,qid42_text,qid54_text,qid55_text,qid56,qid56_9_text,qid23,qid24_text,qid26,qid25_text,qid27_text,qid52,qid52_3_text,qid28_1,qid28_2,qid49_text,qid38_text,qid43_nps_group,qid43,qid44_text,qid58,qid59_text,q_unansweredpercentage,q_unansweredquestions,duration_secs
0,"Food Truck Festival,UPBeat Spring Concert,Spring Comedian at Severance Hall,Drone Show ",,,,,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Competition",,,,,,,,,,,,"Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ","Huge (300-600 people),Large (80-150 people) ,Medium (30-80 people)",Either is fine,Bad timing,,"Friday ,Saturday ,Sunday","Evening (4pm–8pm) ,Night (after 8pm)",Yes,Im usually available all day some days I would still be willing to go to events during finalsmidterms,A week,Social media ,,Physical flyers postings everywhere,Senior,Psychology,Connecticut,definitely not,,,,,Yes,,No,,Forced social interaction,,,M,L,,crossbody bags keychains bucket hats,Promoter,9.0,have shorter lines or more than one line to lessen wait time,,,0.0,,545.0
2,"Food Truck Festival,T-shirt or swag giveaways,UPBeat Spring Concert","Food Festivals ,Major shows or performances (comedians, drone show, etc.) ,Sports/spectator events ",,I wish there were more concerts,not sure,"Free food/snacks,Socializing/meeting new people ,Performance",,"Mexican/Latin (tacos, burritos, empanadas)",,Little Italy restaurants,0.0,0.0,0.0,0.0,0.0,No,,I will attend all events,"Large (80-150 people) ,Medium (30-80 people)", Require advance registration ,Too crowded,,"Saturday ,Sunday","Morning (8am–12pm) ,Afternoon (12pm–4pm) ,Evening (4pm–8pm) ,Night (after 8pm)",No,,Two weeks or more,Friends,,email,Senior,nursing,New York,no,No,no,"Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Usually,none,No,,going to events,Vegetarian,,M,M,,I like the shirts or sweatshirts but I wish that it wasnt pop up but rather if you signed up on campus groups you were guaranteed the giveaway Its too stressful doing the popups so I dont go anymore,Detractor,5.0,make things less walkins,Ninja Creami,,0.0,,222.0
3,"T-shirt or swag giveaways,Thwing Tuesday,Club collaborations (Mahjong, Quidditch, Learn to Be, etc.) ","Food Festivals ,Arts & Crafts  ,Workshops/skill-building ",,,,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Learning new things ",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Indian/South Asian,African/Caribbean",,Cilantro,5.0,50.0,,,5.0,No,,"Weekday lunchtime (12–2pm),Saturday afternoons ,Saturday evenings ,Sunday afternoons ","Large (80-150 people) ,Medium (30-80 people)",Either is fine,"Too crowded,Event cost",,"Saturday ,Sunday","Afternoon (12pm–4pm) ,Night (after 8pm)",Yes,I have roughly zero free time,A week,Email,,,Junior,MathEnglish,Colorado,,,,"Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Yes,,No,,,,,L,L,9.0,anything useful ,Detractor,6.0,,Air Fryer,,0.2564102564102564,"QID9,QID8,QID52,QID42,QID54,QID27,QID59,QID22,QID55,QID44",190.0
4,"UPBeat Spring Concert,Spring Comedian at Severance Hall,Drone Show ,Thwing Tuesday","Food Festivals ,Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ",,Upballs,Upballs ,"Free food/snacks,Swag (shirts, water bottles, etc.) ",,"Mexican/Latin (tacos, burritos, empanadas),Asian (Chinese, Japanese, Korean, Thai, etc.),Desserts/sweets focused",,Trader Joes ,0.0,0.0,0.0,0.0,0.0,No,,"Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ",Huge (300-600 people),Either is fine,Bad timing,,"Saturday ,Sunday","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",No,,3–5 days before,Friends,,Email,Senior,Nursing ,Nevada ,No,No,No,"Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Usually,Idk,No,,Free food,Gluten Free,,S,S,,Ninja creamy,Detractor,5.0,Ninja creamy,Ninja Creami,More Ninja creamy ,0.0,,238.0
5,"T-shirt or swag giveaways,Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip),UPBeat Spring Concert,Thwing Tuesday","Food Festivals ,Swag/giveaway events ,Concerts or live music ",,Petting zoo and crumbl,Petting zoo and crumbl,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Live entertainment",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Indian/South Asian,African/Caribbean",,Indian flame,0.0,0.0,,,,No,,"Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ","Large (80-150 people) ,Medium (30-80 people)", Require advance registration ,"Didn’t hear about it,Bad timing,Too crowded",,"Friday ,Saturday ,Sunday","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",No,,3–5 days before,Email,,Email,Senior,Nursing,Cleveland Ohio,No,No,No,"Sports games (Guardians, Cavs, Browns, Monsters),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Yes,,No,,Na,,,L,L,11.5,Golf clubs,Passive,7.0,Na,Hatch Alarm Clock,Na,0.0263157894736842,QID52,327.0
6,I'm a freshman!,"Food Festivals ,Swag/giveaway events ,Sports/spectator events ",,Cavs tickets,Cavs games,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato)",,I havent seen much yet,0.0,0.0,,,,Yes,200.0,I will attend all events,Large (80-150 people) ,Walk-in Only (First come first serve),Didn’t hear about it,,"Wednesday ,Saturday ,Sunday","Evening (4pm–8pm) ,Night (after 8pm)",Yes,Less likely to come,A week,Friends,,Email,Freshman,Neuroscience,Minnesota,No,No,No,"Sports games (Guardians, Cavs, Browns, Monsters)",,Yes,,No,,More events,,,S,M,11.0,Cavs game,,,More tickets and opportunities ,Ninja Creami,No,0.0256410256410256,QID52,284.0
7,I'm a freshman!,"Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ,Concerts or live music ",,Cookout,Im a freshman,"Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ,Live entertainment",,"American comfort (burgers, BBQ, wings),Italian (pasta, pizza, gelato)",,Fatheads,0.0,0.0,0.0,0.0,0.0,Yes,50.0,"Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ",No preference, Require advance registration ,"Didn’t hear about it,Bad timing,Too crowded,Event cost,Didn’t interest me",,"Monday,Tuesday ,Wednesday ,Thursday ","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",Yes,,A week,"Email,Social media ,Friends",,,Freshman,Accounting,Cleveland,No,No,No,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Usually,More inclusivity,No,,Open events,,,L,L,12.5,Shirts,,,,Ninja Creami,Mo,0.1,"QID19,QID22,QID44,QID52",300.0
8,"Food Truck Festival,T-shirt or swag giveaways,UPBeat Spring Concert,Arts & Crafts (e.g., Brightening Blooms, UPBling)","Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ,Concerts or live music ",,Concerts and pop up matcha stands,Glow in the dark painting ,"Free food/snacks,Swag (shirts, water bottles, etc.) ",,"Mexican/Latin (tacos, burritos, empanadas),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Desserts/sweets focused",,Brassica and cava ,5.0,15.0,0.0,0.0,0.0,Yes,,"Friday evenings,Saturday afternoons ,Saturday evenings ","Gigantic (>1000 people),Huge (300-600 people)",Either is fine,"Didn’t hear about it,Required registration,Event cost",,"Friday ,Saturday ,Sunday","Morning (8am–12pm) ,Evening (4pm–8pm) ,Night (after 8pm)",Yes,Maybe if they had food,A week,Email,,Email,Junior,Psychology ,Hudson Ohio US,No,Plant life,Christmas,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Usually,Registration requirements ,No,,Seeing people I know,,,M,M,9.0,Sweatpants and crewneck ,Passive,8.0,Less registration requirements ,Ninja Creami,Nope,0.024390243902439,QID52,357.0
9,"Food Truck Festival,T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip),UPBeat Spring Concert,Spring Comedian at Severance Hall,Drone Show ,Club collaborations (Mahjong, Quidditch, Learn to Be, etc.) ","Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ,Concerts or live music ",,,Free hoodies,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Live entertainment",,"Mexican/Latin (tacos, burritos, empanadas),Asian (Chinese, Japanese, Korean, Thai, etc.)",,,5.0,7.0,,,0.0,No,,"Weekday lunchtime (12–2pm),Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ","Gigantic (>1000 people),Huge (300-600 people),Large (80-150 people) ", Require advance registration ,"Didn’t hear about it,Bad timing,Too crowded,Required registration,Event cost",,"Monday,Wednesday ,Friday ,Saturday ,Sunday","Morning (8am–12pm) ,Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",Yes,,3–5 days before,"Posters/flyers ,Friends",,Lawn signs by binary,Sophomore,Mechanical Engineering ,San Jose CA,More Asian food Loved onepot last year,,,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Yes,,No,,,,,M,M,7.5,Blankets hoodies shirts tube tops hype and vice,Passive,8.0,More registration spots pls its always sold out,Ninja Creami,,0.2051282051282051,"QID8,QID52,QID19,QID53,QID54,QID27,QID59,QID55",367.0
10,"T-shirt or swag giveaways,UPBakery or other pop-up cafes (e.g., Matcha Pop-up),UPBeat Spring Concert","Food Festivals ,Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ",,,,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Asian (Chinese, Japanese, Korean, Thai, etc.)",,,,,,,,No,,"Weekday late afternoon (4–6pm) ,Friday evenings,Sunday afternoons ","Large (80-150 people) ,No preference", Require advance registration ,"Bad timing,Event cost",,"Wednesday ,Friday ","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ,Night (after 8pm)",No,,1–2 days before ,"Social media ,Friends",,,Junior,nutrition ,texas,,,,"Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Usually,,Yes,,,Vegan,,XXL,XXL,12.0,hatch alarm hoodie ninja cream,Passive,8.0,,Ninja Creami,,0.325,"QID9,QID8,QID42,QID53,QID24,QID10,QID54,QID25,QID27,QID59,QID22,QID55,QID44",396.0
