name,event_type,start_date,start_time,end_date,end_time,registered_count,attended_count,registration_required,budget,net,location,committee,,,
UPBango Mango ,Luncheon,3/6/25,13:00:00,3/6/25,15:00:00,110,110,0," $1,500.00 "," $1,709.00 ",Thwing Atrium,Bootcamp,,,
UPBuild Your Pancake,Luncheon,2/26/25,17:30:00,2/26/25,18:30:00,109,109,0, $500.00 , $635.04 ,Thwing Atrium,Bootcamp,,,
UPBlindbox Bonanza,Social,3/2/25,15:00:00,3/2/25,16:30:00,121,74,1," $1,000.00 "," $1,050.47 ",Tink Ballroom A,Bootcamp,,,
UPBites & BoardGames,Activities,2/16/25,11:30:00,2/16/25,13:30:00,54,49,1," $1,500.00 "," $2,016.00 ",Tabletop Board Game Cafe,Bootcamp,,,
Bowling into BHM,Activities,2/8/25,14:00:00,2/8/25,16:00:00,37,28,1," $1,500.00 "," $2,045.50 ",The Corner Alley,Bootcamp,,,
UPBrie and Crackers,Luncheon,3/22/25,12:30:00,3/22/25,13:30:00,49,40,1," $2,500.00 ", $857.26 ,Student Organization Center (Tink 150),CE,,,
Shrimp Games,Activities,3/1/25,15:30:00,3/1/25,17:30:00,128,102,1," $2,500.00 "," $2,429.09 ",Adelbert Gym,CE,,,
Are you Smarter than a CWRU Student?,Social,2/6/25,15:00:00,2/6/25,16:30:00,53,53,0," $2,500.00 ", $895.78 ,Tink First Floor Conference Room,CE,,,
UPBakery,Luncheon,1/16/25,12:00:00,1/16/25,14:00:00,106,106,0," $2,500.00 "," $1,163.50 ",Thwing Atrium,CE,,,
UPBeverage,Luncheon,1/15/25,13:00:00,1/15/25,15:00:00,107,107,0," $2,500.00 "," $1,034.59 ",Thwing Atrium,CE,,,
UPB x Matcha Makers Matcha Pop-up,Social,4/17/25,12:30:00,4/17/25,14:00:00,199,199,0," $2,000.00 "," $1,391.44 ",KSL Oval,Co-Pro,,,
Rollapalooza,Activities,3/28/25,12:30:00,3/28/25,14:00:00,127,127,0," $2,000.00 "," $1,248.00 ",Hovorka Atrium,Co-Pro,,,
Field Day,Activities,4/13/25,15:00:00,4/13/25,17:30:00,73,32,1," $2,000.00 "," $1,590.90 ",Freiberger Field,Co-Pro,,,
Brightening Blooms,Activities,3/30/25,15:00:00,3/30/25,17:00:00,119,87,1," $2,000.00 ", $839.22 ,Thwing Ballroom ,Co-Pro,,,
Cupid's Courses,Social,2/9/25,19:00:00,2/9/25,21:00:00,31,25,1," $2,000.00 "," $2,370.13 ",Thwing Ballroom,Co-Pro,,,
UPBeat Spring Concert: Colony House!,Social,3/29/25,19:30:00,3/29/25,22:00:00,78,78,0," $50,000.00 "," $47,905.00 ",Tink Ballroom,Concerts,,,
Leon Thomas Concert,Program,2/8/25,19:30:00,2/8/25,22:00:00,500,500,0," $50,000.00 "," $48,355.45 ",Tink Ballrooms,Concerts,,,
UPBroadway: &Juliet,Program,3/19/25,19:30:00,3/19/25,22:30:00,28,13,0," $2,000.00 "," $1,125.00 ",Connor Palace at Playhouse Square,Concerts,,,
