StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_DuplicateRespondent,Q_BallotBoxStuffing,QID47_Browser,QID47_Version,QID47_Operating System,QID47_Resolution,QID48,4,5,5_13_TEXT,6,7,8,8_9_TEXT,9,9_11_TEXT,10,11_1,11_2,11_3,11_4,11_5,12,13,14,15,16,17,17_9_TEXT,18,19,20,21,22,23,23_6_TEXT,24,25,26,27,28,29,30,31,31_9_TEXT,32,33,34,35,36,37,37_3_TEXT,38_1,38_2,39,40,41_NPS_GROUP,41,42,43,44,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_DuplicateRespondent,Q_BallotBoxStuffing,Click to write the question text - Browser,Click to write the question text - Version,Click to write the question text - Operating System,Click to write the question text - Resolution,Enter your CaseID (xxx####),Which UPB events from last year did you attend or hear about? (Select all that apply),Which types of events would you most like to see again or see more of? (Select up to 3) - Selected Choice,Which types of events would you most like to see again or see more of? (Select up to 3) - Other - Text,What’s one specific event (from last year or a new idea) you wish we would host?,Is there a past event you want to see again?,What features matter most to you in campus events? (Select up to 3) - Selected Choice,What features matter most to you in campus events? (Select up to 3) - Other: - Text,What kind of food do you want to see at events? - Selected Choice,What kind of food do you want to see at events? - Other: - Text,"Which Cleveland restaurants, cafés, or food spots would you love to see UPB bring to campus?",How much are you willing to pay (if anything) for: (Enter $0 if you only attend free events) - On-campus event:,How much are you willing to pay (if anything) for: (Enter $0 if you only attend free events) - Off-campus event:,How much are you willing to pay (if anything) for: (Enter $0 if you only attend free events) - Spring Break Trip:,How much are you willing to pay (if anything) for: (Enter $0 if you only attend free events) - Fall Break Trip:,How much are you willing to pay (if anything) for: (Enter $0 if you only attend free events) - General Event:,"For Trips, would you be willing to pay a higher fee for a unique location and experiences?",If so how much?,When are you most likely to attend campus events? (Select all that apply),What event size do you prefer? Select all that apply,Would you prefer events to…,What stops you from attending more events? (Select all that apply) - Selected Choice,What stops you from attending more events? (Select all that apply) - Other: - Text,What days are you generally free for events? (Select all that apply),What times work best for you? (Select all that apply),Does your availability change during midterms or finals?,"If yes, how? and would you still be willing to go to events?",How far in advance do you want to know about events?,How do you usually hear about campus events? (Select all that apply) - Selected Choice,How do you usually hear about campus events? (Select all that apply) - Other: - Text,What's the BEST way to reach you about events?,What year are you?,Major/Area of study,"Where are you from? (City, State/Country/Region)",Is there a part of your culture or background you’d like to see reflected in campus events?,"Are there specific interests, hobbies, or communities you’d like UPB to highlight through events?","Are there traditions, holidays, or celebrations that matter to you and you’d like to see represented on campus?",Which types of off-campus locations would you most like UPB to plan trips to? - Selected Choice,Which types of off-campus locations would you most like UPB to plan trips to? - Other: - Text,Do you feel campus events are welcoming to all students?,"If not, what can be improved?",Do you have any accessibility needs for event participation?,Please specify so we can try to be more accommodating,What helps you feel more connected to the campus community?,Any dietary restrictions? - Selected Choice,Any dietary restrictions? - Other: - Text,Giveaway/Swag Sizes - Shirt Size,Giveaway/Swag Sizes - Hoodie Size,Shoe size? (in US measurements),"What would be your ideal event giveaway or UPB swag? (List out whatever you want, crazy ideas, simple ideas, etc.)",How satisfied are you with UPB events? (If applicable) - Group,How satisfied are you with UPB events? (If applicable),What is one thing we could do to make events better for you or more students?,Which prize would you like to enter for?,Any suggestions to improve future UPB surveys?,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID47_BROWSER""}","{""ImportId"":""QID47_VERSION""}","{""ImportId"":""QID47_OS""}","{""ImportId"":""QID47_RESOLUTION""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_13_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_9_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_11_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID7_9_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_6_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID56_9_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_3_TEXT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID43_NPS_GROUP""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""Q_StraightliningCount""}","{""ImportId"":""Q_StraightliningPercentage""}","{""ImportId"":""Q_StraightliningQuestions""}","{""ImportId"":""Q_UnansweredPercentage""}","{""ImportId"":""Q_UnansweredQuestions""}"
2025-08-20 18:54:02,2025-08-20 19:03:07,IP Address,204.156.196.66,100,545,True,2025-08-20 19:03:08,R_5dLlbpSEZWZww7F,,,,,41.5066,-81.6111,anonymous,EN,1,,,Chrome,139.0.0.0,Windows NT 10.0,1536x960,,"Food Truck Festival,UPBeat Spring Concert,Spring Comedian at Severance Hall,Drone Show ",,,,,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Competition",,,,,,,,,,,,"Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ,Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ","Huge (300-600 people),Large (80-150 people) ,Medium (30-80 people)",Either is fine,Bad timing,,"Friday ,Saturday ,Sunday","Evening (4pm–8pm) ,Night (after 8pm)",Yes,"I'm usually available all day some days, I would still be willing to go to events during finals/midterms.",A week,"Social media ",,Physical flyers postings (everywhere),Senior,Psychology,Connecticut,definitely not,,,,,Yes,,No,,Forced social interaction,,,M,L,,"crossbody bags, keychains, bucket hats",Promoter,9,"have shorter lines, or more than one line to lessen wait time",,,0,0,,0,
2025-08-24 12:23:16,2025-08-24 12:26:54,Survey Preview,,100,217,True,2025-08-24 12:26:54,R_7QxOyuq1KyumftP,,,,,41.5066,-81.6111,preview,EN,1,,,Chrome,139.0.0.0,Macintosh,1512x982,fmw13,Food Truck Festival,"Tournaments (video games, board games, etc.) ",,,,Free food/snacks,,"Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),African/Caribbean",,,,,,,,No,,"Friday evenings,Saturday afternoons ,I will attend all events","Large (80-150 people) ,Medium (30-80 people)",Either is fine,"Bad timing,Too crowded",,"Friday ,Saturday ","Evening (4pm–8pm) ,Night (after 8pm)",No,,A week,"Email,Social media ",,,Freshman,"Observation ",Mars,Jupitarian Stars,,,"Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Usually,,No,,,Other:,Allergic to humans,L,L,8.5,Buffet giftcards,,,Food,Hatch Alarm Clock,,1,1,QID28,0.2631578947368421,"QID9,QID8,QID53,QID24,QID10,QID54,QID27,QID59,QID22,QID55"
2025-08-24 21:01:27,2025-08-24 21:05:09,IP Address,104.28.76.114,100,222,True,2025-08-24 21:05:10,R_6tjjNn1F5nZei09,,,,,41.5,-81.6938,anonymous,EN,0.8999999761581421,,,Safari iPhone,18.6,iPhone,393x852,jmr320,"Food Truck Festival,T-shirt or swag giveaways,UPBeat Spring Concert","Food Festivals ,Major shows or performances (comedians, drone show, etc.) ,Sports/spectator events ",,I wish there were more concerts,not sure,"Free food/snacks,Socializing/meeting new people ,Performance",,"Mexican/Latin (tacos, burritos, empanadas)",,"Little Italy, restaurants",0,0,0,0,0,No,,I will attend all events,"Large (80-150 people) ,Medium (30-80 people)"," Require advance registration ",Too crowded,,"Saturday ,Sunday","Morning (8am–12pm) ,Afternoon (12pm–4pm) ,Evening (4pm–8pm) ,Night (after 8pm)",No,,Two weeks or more,Friends,,email,Senior,nursing,New York,no,No,no,"Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Usually,none,No,,going to events,Vegetarian,,M,M,"8 or 8.5 women’s ","I like the shirts or sweatshirts, but I wish that it wasn’t pop up, but rather if you signed up on campus groups, you were guaranteed the giveaway. It’s too stressful doing the pop-ups so I don’t go anymore.",Detractor,5,make things less walk-ins,Ninja Creami,None,1,1,QID28,0,
2025-08-24 21:02:47,2025-08-24 21:05:57,IP Address,75.185.197.45,100,189,True,2025-08-24 21:05:57,R_1lKzhp7GNLgWMEi,,,,,41.4722,-81.745,anonymous,EN,0.8999999761581421,,,Firefox,142.0,Windows NT 10.0,1920x1080,jhb131,"T-shirt or swag giveaways,Thwing Tuesday,Club collaborations (Mahjong, Quidditch, Learn to Be, etc.) ","Food Festivals ,Arts & Crafts  ,Workshops/skill-building ",,,,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Learning new things ",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato),Asian (Chinese, Japanese, Korean, Thai, etc.),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Indian/South Asian,African/Caribbean",,Cilantro!,5,50,,,5,No,,"Weekday lunchtime (12–2pm),Saturday afternoons ,Saturday evenings ,Sunday afternoons ","Large (80-150 people) ,Medium (30-80 people)",Either is fine,"Too crowded,Event cost",,"Saturday ,Sunday","Afternoon (12pm–4pm) ,Night (after 8pm)",Yes,I have roughly zero free time,A week,Email,,,Junior,Math/English,Colorado,,,,"Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Yes,,No,,,,,L,L,9,anything useful :),Detractor,6,,Air Fryer,,1,1,QID28,0.2564102564102564,"QID9,QID8,QID52,QID42,QID54,QID27,QID59,QID22,QID55,QID44"
2025-08-24 21:02:04,2025-08-24 21:06:02,IP Address,174.207.108.29,100,237,True,2025-08-24 21:06:03,R_1ZcHf01P5XIvZip,,,,,41.3847,-81.7982,anonymous,EN,1,,,Chrome iPhone,139.0.7258.76,iPhone,390x844,Acl153,"UPBeat Spring Concert,Spring Comedian at Severance Hall,Drone Show ,Thwing Tuesday","Food Festivals ,Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ",,Upballs,"Upballs ","Free food/snacks,Swag (shirts, water bottles, etc.) ",,"Mexican/Latin (tacos, burritos, empanadas),Asian (Chinese, Japanese, Korean, Thai, etc.),Desserts/sweets focused",,"Trader Joe’s ",0,0,0,0,0,No,,"Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ,Sunday evenings ",Huge (300-600 people),Either is fine,Bad timing,,"Saturday ,Sunday","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",No,,3–5 days before,Friends,,Email,Senior,"Nursing ","Nevada ",No,No,No,"Food and market experiences (West Side Market, Little Italy, AsiaTown)",,Usually,Idk,No,,Free food,Gluten Free,,S,S,"7 women’s ",Ninja creamy,Detractor,5,Ninja creamy,Ninja Creami,"More Ninja creamy ",1,1,QID28,0,
2025-08-24 21:01:41,2025-08-24 21:07:08,IP Address,107.77.192.108,100,327,True,2025-08-24 21:07:09,R_65fV3FZlSfd9LtD,,,,,39.749,-84.1573,anonymous,EN,0.800000011920929,,,Safari iPhone,Unknown,iPhone,390x844,Ach186,"T-shirt or swag giveaways,Off-campus trips (e.g., Topgolf, NBA/Cavs game, Columbus trip),UPBeat Spring Concert,Thwing Tuesday","Food Festivals ,Swag/giveaway events ,Concerts or live music ",,Petting zoo and crumbl,Petting zoo and crumbl,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Live entertainment",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Mediterranean/Middle Eastern (Greek, Turkish, Lebanese),Indian/South Asian,African/Caribbean",,Indian flame,0,0,,,,No,,"Friday evenings,Saturday afternoons ,Saturday evenings ,Sunday afternoons ","Large (80-150 people) ,Medium (30-80 people)"," Require advance registration ","Didn’t hear about it,Bad timing,Too crowded",,"Friday ,Saturday ,Sunday","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",No,,3–5 days before,Email,,Email,Senior,Nursing,Cleveland Ohio,No,No,No,"Sports games (Guardians, Cavs, Browns, Monsters),Museums and cultural centers (Cleveland Museum of Art, Rock Hall, Natural History Museum),Food and market experiences (West Side Market, Little Italy, AsiaTown),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park),Shopping/entertainment districts (Crocker Park, Pinecrest, Legacy Village)",,Yes,,No,,Na,,,L,L,11.5,Golf clubs,Passive,7,Na,Hatch Alarm Clock,Na,1,1,QID28,0.02631578947368421,QID52
2025-08-24 21:02:46,2025-08-24 21:07:30,IP Address,129.22.21.198,100,283,True,2025-08-24 21:07:31,R_6RnVEzJ9uB0QGpr,,,,,41.3861,-81.7371,anonymous,EN,0.8999999761581421,,,Chrome iPhone,139.0.7258.76,iPhone,430x932,scb164,I'm a freshman!,"Food Festivals ,Swag/giveaway events ,Sports/spectator events ",,Cavs tickets,Cavs games,"Free food/snacks,Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ",,"American comfort (burgers, BBQ, wings),Mexican/Latin (tacos, burritos, empanadas),Italian (pasta, pizza, gelato)",,I haven’t seen much yet,0,0,,,,Yes,200,I will attend all events,"Large (80-150 people) ",Walk-in Only (First come first serve),Didn’t hear about it,,"Wednesday ,Saturday ,Sunday","Evening (4pm–8pm) ,Night (after 8pm)",Yes,Less likely to come,A week,Friends,,Email,Freshman,Neuroscience,Minnesota,No,No,No,"Sports games (Guardians, Cavs, Browns, Monsters)",,Yes,,No,,More events,,,S,M,11,Cavs game,,,"More tickets and opportunities ",Ninja Creami,No,0,0,,0.02564102564102564,QID52
2025-08-24 21:02:47,2025-08-24 21:07:47,IP Address,129.22.21.198,100,299,True,2025-08-24 21:07:48,R_6kQtDLeazjABBLz,,,,,41.5066,-81.6111,anonymous,EN,0.8999999761581421,,,Safari iPhone,Unknown,iPhone,393x852,scb168,I'm a freshman!,"Swag/giveaway events ,Pop-up cafes (e.g., bakery, matcha) ,Concerts or live music ",,Cookout,Im a freshman,"Swag (shirts, water bottles, etc.) ,Socializing/meeting new people ,Live entertainment",,"American comfort (burgers, BBQ, wings),Italian (pasta, pizza, gelato)",,Fatheads,0,0,0,0,0,Yes,50,"Weekday late afternoon (4–6pm) ,Weekday evening (after 6pm) ",No preference," Require advance registration ","Didn’t hear about it,Bad timing,Too crowded,Event cost,Didn’t interest me",,"Monday,Tuesday ,Wednesday ,Thursday ","Afternoon (12pm–4pm) ,Evening (4pm–8pm) ",Yes,,A week,"Email,Social media ,Friends",,,Freshman,Accounting,Cleveland,No,No,No,"Sports games (Guardians, Cavs, Browns, Monsters),Concert venues (House of Blues, Rocket Mortgage FieldHouse, Blossom Music Center),Outdoor/nature spots (Edgewater Beach, Cleveland Metroparks, Cuyahoga Valley National Park)",,Usually,More inclusivity,No,,Open events,,,L,L,12.5,Shirts,,,,Ninja Creami,Mo,1,1,QID28,0.1,"QID19,QID22,QID44,QID52"
